comparison,mean_diff,p_val_tukey,95%_ci_low,95%_ci_up,dof_between,dof_within,F_1way_anova,p_1way_anova
"('layer20', 'layer19')",-0.009283483,0.45063165,-0.021661766,0.0030947998,18,33195,5044.077351770932,0.0
"('layer20', 'layer20')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer20', 'layer21')",0.14522332,0.0,0.13284503,0.15760161,18,33195,5044.077351770932,0.0
"('layer20', 'layer22')",0.08299285,0.0,0.07061457,0.095371135,18,33195,5044.077351770932,0.0
"('layer20', 'layer23')",0.17122537,0.0,0.15884708,0.18360366,18,33195,5044.077351770932,0.0
"('layer20', 'layer24')",0.2692379,0.0,0.25407767,0.28439814,18,33195,5044.077351770932,0.0
"('layer20', 'layer25')",0.4471204,0.0,0.43196017,0.46228063,18,33195,5044.077351770932,0.0
"('layer20', 'layer26')",0.49820152,0.0,0.4830413,0.51336175,18,33195,5044.077351770932,0.0
"('layer20', 'layer27')",0.4246333,0.0,0.4050615,0.44420508,18,33195,5044.077351770932,0.0
"('layer20', 'layer28')",0.48912868,0.0,0.4695569,0.5087005,18,33195,5044.077351770932,0.0
"('layer20', 'layer29')",0.5010996,0.0,0.4815278,0.52067137,18,33195,5044.077351770932,0.0
"('layer20', 'layer30')",0.5271439,0.0,0.5075721,0.5467157,18,33195,5044.077351770932,0.0
"('layer20', 'layer31')",0.5557925,0.0,0.5362207,0.5753643,18,33195,5044.077351770932,0.0
"('layer20', 'layer32')",0.55535144,0.0,0.53577965,0.5749232,18,33195,5044.077351770932,0.0
"('layer20', 'layer33a')",0.58206755,0.0,0.56249577,0.60163933,18,33195,5044.077351770932,0.0
"('layer20', 'layer34a')",0.5610004,0.0,0.54584014,0.57616067,18,33195,5044.077351770932,0.0
"('layer20', 'layer35a')",0.5887487,0.0,0.5763684,0.601129,18,33195,5044.077351770932,0.0
"('layer20', 'layer36a')",0.52472943,0.0,0.51235116,0.5371077,18,33195,5044.077351770932,0.0
"('layer20', 'layer37')",0.4975865,0.0,0.4614979,0.5336751,18,33195,5044.077351770932,0.0
"('layer21', 'layer19')",-0.1545068,0.0,-0.1668851,-0.14212851,18,33195,5044.077351770932,0.0
"('layer21', 'layer20')",-0.14522332,0.0,-0.15760161,-0.13284503,18,33195,5044.077351770932,0.0
"('layer21', 'layer21')",0.0,1.0,-0.012378283,0.012378283,18,33195,5044.077351770932,0.0
"('layer21', 'layer22')",-0.062230468,0.0,-0.07460875,-0.049852185,18,33195,5044.077351770932,0.0
"('layer21', 'layer23')",0.02600205,8.562817e-12,0.013623767,0.038380332,18,33195,5044.077351770932,0.0
"('layer21', 'layer24')",0.124014586,0.0,0.108854346,0.13917482,18,33195,5044.077351770932,0.0
"('layer21', 'layer25')",0.30189708,0.0,0.28673685,0.3170573,18,33195,5044.077351770932,0.0
